epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,115.252,0.57403,2.56946,1.33765,0.89242,0.431,0.90964,0.83883,0.47537,2.60842,0.76332,0.00054409,0.00054409,0.00054409
2,252.584,0.25458,1.43565,0.96346,0.6931,0.90016,0.97326,0.90149,0.40087,1.56226,0.70428,0.000990881,0.000990881,0.000990881
3,404.5,0.21446,1.20333,0.92164,0.96008,0.94722,0.98046,0.9716,0.30418,1.08083,0.60889,0.00132765,0.00132765,0.00132765
4,520.04,0.19833,1.08279,0.92702,0.81743,0.78244,0.7933,0.74846,0.40078,1.76392,0.67725,0.0011719,0.0011719,0.0011719
5,636.153,0.19819,1.0732,0.90623,0.95865,0.93396,0.9823,0.9792,0.30034,0.944,0.62034,0.00100687,0.00100687,0.00100687
