epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,134.916,0.58643,2.53612,1.30926,0.42357,0.76197,0.67079,0.51347,0.72606,3.82548,1.06152,0.000552773,0.000552773,0.000552773
2,268.527,0.30941,1.56886,1.00872,0.88337,0.87294,0.92264,0.89556,0.4943,1.58821,0.76131,0.000998704,0.000998704,0.000998704
