epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,110.868,0.76416,2.184,1.36873,0.76292,0.84246,0.85566,0.57667,0.90978,2.04477,1.32443,0.000549878,0.000549878,0.000549878
2,223.702,0.55213,1.36836,1.19204,0.75746,0.80674,0.87616,0.66268,0.87989,1.81255,1.02451,0.000831923,0.000831923,0.000831923
3,337.125,0.46745,1.17084,1.11301,0.91548,0.911,0.97017,0.76037,0.52264,1.57182,0.85258,0.000838912,0.000838912,0.000838912
4,524.05,0.40968,1.0399,1.0673,0.96744,0.92978,0.97784,0.9529,0.42183,1.17098,0.77594,0.000429253,0.000429253,0.000429253
